orderId,creationDate,value,sellerName,sellerId,statusDescription,utmSource,utmMedium,utmCampaign,email,totals_Items,totals_Discounts,totals_Shipping,totals_Tax,data_extracao
1654651275978-01,2026-08-16T17:24:40.3190323+00:00,16032,Encantech Shop,loyalt,Pagamento Aprovado,APP,ver_todos_app,2026_03_18_ver_todos_app,,14241,0,1791,0,2026-08-16 14:29:07
1654651275975-01,2026-08-16T17:21:00.7622685+00:00,10277,WebContinental Marketplace,webcontinentalmktplace,Pagamento Pendente,APP,banner_app,banner_cat_eletroportateis_app,,8990,0,1287,0,2026-08-16 14:29:07
1654651275970-01,2026-08-16T17:19:03.2897422+00:00,15277,Encantech Shop,loyalt,Pagamento Aprovado,APP,app_barra_de_busca,app_barra_de_busca,,14900,0,377,0,2026-08-16 14:29:07
1654651275969-01,2026-08-16T17:19:01.8523568+00:00,14890,Philco,Philco,Pagamento Aprovado,APP,banner_app,banner_cat_eletroportateis_app,,12990,0,1900,0,2026-08-16 14:29:07
1654651275966-01,2026-08-16T17:09:56.5933123+00:00,112014,WebContinental Marketplace,webcontinentalmktplace,Pagamento Aprovado,,,,,84744,0,27270,0,2026-08-16 14:29:07
1654651275965-01,2026-08-16T17:09:45.0752424+00:00,58557,Encantech Shop,loyalt,Pagamento Aprovado,APP,ver_todos_app,2026_03_18_ver_todos_app,,55567,0,2990,0,2026-08-16 14:29:07
1654651275960-01,2026-08-16T17:05:31.9197728+00:00,8890,Philco,Philco,Pagamento Aprovado,APP,banner_app,banner_cat_eletroportateis_app,,6990,0,1900,0,2026-08-16 14:29:08
1654651275956-01,2026-08-16T17:03:17.4996989+00:00,16214,Philco,Philco,Pagamento Aprovado,APP,banner_app_ofertas_doming_moveis,banner_app_ofertas_doming_moveis,,13990,0,2224,0,2026-08-16 14:29:08
1654651275953-01,2026-08-16T16:53:38.4992398+00:00,11103,Indiana,farmaciaindiana,Pagamento Aprovado,APP,app_barra_de_busca,app_barra_de_busca,,10299,0,804,0,2026-08-16 14:29:08
1654651275950-01,2026-08-16T16:47:17.8337352+00:00,90768,Encantech Shop,loyalt,Pagamento Aprovado,APP,banner_app,banner_gif_celulares_app,,88778,0,1990,0,2026-08-16 14:29:08
