creationDate,orderId,categoryName,name,price,listPrice,quantity,productId,seller,data_extracao
2026-06-04 03:01:08,1637021232505-01,"Caixas de Som Portáteis | Áudio | Cinema, TV e Áudio",Speaker Philco PBS45BT Extreme Bluetooth V5.3 40W Bivolt,27990,31990,1,772737,Philco,2026-06-04 03:50:41
2026-06-04 01:57:16,1637011232501-01,Toalhas de Banho e Rosto | Cama e Banho | Casa e Cozinha,Toalha De Banho Infantil Soft Kids 68x110cm Appel,4799,4799,2,1584788,webcontinentalmktplace,2026-06-04 03:50:41
2026-06-04 01:54:18,1637011232500-01,Chapinhas e Pranchas | Cuidados com o Cabelo | Cosméticos e Perfumaria,Prancha Titanium Philco PPR10 Chrome Rose Display Digital Bivolt,10990,25990,1,1525,Philco,2026-06-04 03:50:41
2026-06-04 01:49:39,1637011232499-01,"Caixas de Som Portáteis | Áudio | Cinema, TV e Áudio",Speaker Philco PBS45BT Extreme Bluetooth V5.3 40W Bivolt,27990,31990,1,772737,Philco,2026-06-04 03:50:42
2026-06-04 01:49:39,1637011232499-01,"Bebedouros | Filtros, Bebedouros e Refrigeradores de Água | Eletroportáteis",Bebedouro Philco PBE14 10L e 20L Duas temperaturas Bivolt Bivolt,30990,41990,1,229737,Philco,2026-06-04 03:50:42
2026-06-04 01:22:20,1637001232497-02,Cuidado Adulto | Saúde e Bem Estar,Gloss labial blant - lip volume,5390,6290,1,2062873,loyalt,2026-06-04 03:50:42
2026-06-04 01:22:20,1637001232497-01,Antirrugas | Rosto | Pele | Cosméticos e Perfumaria,Creamy Creme Retexturizador Skincare Ácido Glicólico 30g,8379,8379,1,903699,farmaconde,2026-06-04 03:50:42
2026-06-04 01:09:21,1637001232496-01,Cozinha Industrial | Eletrodomésticos,Leitor Código De Barras 1d 1017a+,10624,10624,1,2651268,webcontinentalmktplace,2026-06-04 03:50:42
2026-06-04 01:05:22,1637001232494-01,"Mixers | Liquidificadores, Batedeiras e Processadores | Eletroportáteis",Mixer britânia bmx400p 3 em 1 400w - preto,14411,21527,1,2137874,loyalt,2026-06-04 03:50:42
2026-06-04 01:02:11,1637001232491-01,Curativos | Primeiros Socorros | Saúde e Bem Estar,Curativo Acnesept Anti-Acne 24 Unidades Curativo Acnesept Anti-Acne  24 Unidades,2099,2099,1,1245463,farmaciaindiana,2026-06-04 03:50:42
