SellerId;sellerName
1;Senff
afterclick;Integral Médica
afterintegral;Integral Médica
armazemcircular;Armazém Circular
atlas;Atlas Dako Eletrodomésticos
belfix;Bel
blackskullusa;Black Skull
blt;Balaroti
bumerangbrinquedos;Bumerang Brinquedos
caemmun;Caemmun Movelaria
casadoinox;Casa do Inox
casadoinox2;Casa do Inox
comercialsaopaulo;ComercialSaoPaulo
compaq;Compaq
compreja;MMPlace
condorind;Condor Ind
culturama;Editora Culturama
danacosmeticos;Dana Cosméticos
darkness;Darkness
darknessafter;Darkness
davinci;DAVINCI
delahome;Dela Home
Diageo;THE BAR
elastobor;Elastobor
electrolux;Electrolux
eletrum;Eletrum
elsys;Elsys
eurenovo;Eurenovo
evobrindes;Evo Brindes
farmaciadebicho;FARMÁCIA DE BICHO
farmaciadebicho764;FARMÁCIA DE BICHO
farmaciaindiana;Indiana
farmaconde;Farma Conde
fioresi;Fioresi Candle
fortealum;Forte Alumínios
freixenet;Freixenet
funstock;We Connect
gamaitaly;Gama Italy
glowgo;Glow Go
guimepa;Guimepa
hlg;Farmácias São João homol 1
hyperapharma;Hypera Pharma
imperiodosom;Imperio do Som
inbettastore;BETTANIN
integralmedica;Integral Médica
issviva;Iss Viva
JCKids;JC Kids
jobst;Jobst
JURUNENSE;Jurunense
lego;Lego
llloyalt;Encantech Shop
lojaconchaytoro;Concha y Toro
lojaelka;ELKA
lojafranke;Loja Franke
lojagrow;GROW JOGOS E BRINQUEDOS
lojaopescadordeofertas;O PESCADOR DE OFERTAS
lojapositivo;Direct Stock
lojawaaw;Loja Waaw
lojawap;Loja Wap
lovino;Lovino
loyalt;Encantech Shop
madesacms;Madesa
maisbarato;Mais Barato
marinbrasil;Marin Brasil
martinsfontespaulista;Livraria Martins Fontes Paulista
mbbugigangas;MB Bugigangas
miligrama;Fmiligrama
minipreco;Mini Preço
monsterd;Monster D
multilojaonline;Multiloja
multimoveis;Multimóveis
mundoverde;Mundo Verde
nadirfigueiredo;Nadir Figueiredo
naveia;Na Veia
NIchele;INATIVO Nichele
niveastore;Nivea
nutrify;Nutrify
nutrifyafter;Nutrify
opeco20;E-Store
Orient;Orient
orientjapan;Orient
paguemenos00026;Pague Menos
penseavantitestes;Penseavanti2
pensefarma;Pense Farma
Philco;Philco
Philips;Philips
philipssignifyb2c;Philips Iluminação
pneubarato;Pneu Barato
prb;Probel
profissionalbeleza;Profissional Beleza
qcompra;QCompra
qualidadeanymarket;QUALIDADE ANYMARKET
qualimagazine;Qualimagazine
ravima;Ravima Espelhos
redebella;Redebella
Redepharma;Redepharma
relogioorient;Relógios On
rewardsbr;RewardsBR
rheem;Rheem
rothacosmeticos;Rotha Cosméticos
rovitex;ROVITEX
samsungbrshop;SAMSUNG
sestini;Sestini
shophub;Shophub
shoppingnatural;Shopping Natural
sieno;Sieno
sjdigital;Farmácias São João
sjdigitalhlg;Farmácias São João homol 2
sobrebarba;Sobrebarba
softystatix;Softys
taafrl;Todovino
taiff;Taiff
telasul;Telasul
teste890;Teste
tetrix;Tetrix
tfatr2;Kapazi
tfbmsm;Nichele
tfcpdt;OGGI MOVEIS
tfcuey;BR ME
tfdbn2;Home2You
tfddl6;Formosinha Decorações
tnadecor;TNA Decor
TodoVino;Todovino
utensiliosdochef;Utensilios do Chef
utilmax;Útil Max Utilidades
vaiobr;Direct Stock
valente;Estofados Valente
vipshop;Vip Shop Outlet
voketech;Voke.Tech
waaw;Waaw
Wahl;Wahl
wahlclipper;Wahl
walitastore;Walita Store
wap2025;Wap2
webcontinental;WebContinental
webcontinentalmktplace;WebContinental Marketplace
webfones;Webfones
webfonesio;Webfones
